"The Thundered Man / Valentine Vendroux / France / 2019 / 3'58""";Пронзенный человек
"The Tram Run Over Us / Artur Chernushkin / Russia / 2020 / 1'03""";
"The Unhatched Caterpillar’s Day / Sabina Fakhrutdinova, Zabava Pankina / Russia / 2020 / 6'36""";День невылупившейся гусеницы
"The Wellspring And The Tower / Melinda Kadar / Hungary / 2020 / 7'27""";Источник и Башня
"The Wet Socks of Berta Reyes / Alexandra Shadrina / Russia / 2020 / 11'02""";Мокрые носочки Берты Райз
"The Wings / Riho Unt / Estonia / 2020 / 12'30""";Крылья
"The Witch & The Baby / Evgenia Golubeva / Russia / 2020 / 4'45""";Баба-Яга и малышка
"This is Only Getting Worse / Michael Negari, Eran Luzon / Israel / 2020 / 7'36""";Все становится только хуже
"Through the Cymbals I Will Watch / Karlo Corona, Lorène Yavo / United States / 2020 / 7'30""";Я буду смотреть сквозь тарелки
"Time o´ the Signs / Reinhold Bidner / Austria / 2019 / 8'36""";Время знаков
"Tobi And The Turbobus / Verena Fels / Germany / 2020 / 7'30""";Тоби и Турбобус
"Tom / Felippe Steffens / Brazil / 2020 / 7'06""";Том
"Towards the Lighthouse / Valeria Gavrilova / Russia / 2020 / 9'14""";В сторону маяка
"Trois Francs Six Sous / Clemence Ottevaere, Florence Blain, Louise Leblond, Varoon Indalkar, Morgane Ladjel, Hugo Valdelièvre-Rattier / France / 2019 / 6'33""";Почти что ничего
